
Starting run: sweep-lr0.0001-decay0.995-hidden64-batch64-gamma0.99
Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.16548079998847243
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 9.23 | Avg: 9.23 | Epsilon: 0.995
Episode 1 | Reward: 64.84 | Avg: 37.04 | Epsilon: 0.990
Episode 2 | Reward: 18.42 | Avg: 30.83 | Epsilon: 0.985
Episode 3 | Reward: 22.42 | Avg: 28.73 | Epsilon: 0.980
Episode 4 | Reward: 9.57 | Avg: 24.90 | Epsilon: 0.975
Episode 5 | Reward: 7.12 | Avg: 21.93 | Epsilon: 0.970
Episode 6 | Reward: 10.61 | Avg: 20.32 | Epsilon: 0.966
Episode 7 | Reward: 68.43 | Avg: 26.33 | Epsilon: 0.961
Episode 8 | Reward: 17.01 | Avg: 25.29 | Epsilon: 0.956
Episode 9 | Reward: 9.90 | Avg: 23.76 | Epsilon: 0.951
Episode 10 | Reward: 8.78 | Avg: 22.39 | Epsilon: 0.946
Episode 11 | Reward: 17.94 | Avg: 22.02 | Epsilon: 0.942
Episode 12 | Reward: 18.28 | Avg: 21.73 | Epsilon: 0.937
Episode 13 | Reward: 9.44 | Avg: 20.86 | Epsilon: 0.932
Episode 14 | Reward: 9.53 | Avg: 20.10 | Epsilon: 0.928
Episode 15 | Reward: 17.92 | Avg: 19.97 | Epsilon: 0.923
Episode 16 | Reward: 10.71 | Avg: 19.42 | Epsilon: 0.918
Episode 17 | Reward: 54.93 | Avg: 21.39 | Epsilon: 0.914
Episode 18 | Reward: 10.04 | Avg: 20.80 | Epsilon: 0.909
Episode 19 | Reward: 65.88 | Avg: 23.05 | Epsilon: 0.905
Episode 20 | Reward: 10.08 | Avg: 22.43 | Epsilon: 0.900
Episode 21 | Reward: 10.37 | Avg: 21.88 | Epsilon: 0.896
Episode 22 | Reward: 50.67 | Avg: 23.14 | Epsilon: 0.891
Episode 23 | Reward: 8.82 | Avg: 22.54 | Epsilon: 0.887
Episode 24 | Reward: 23.17 | Avg: 22.56 | Epsilon: 0.882
Episode 25 | Reward: 9.96 | Avg: 22.08 | Epsilon: 0.878
Episode 26 | Reward: 16.65 | Avg: 21.88 | Epsilon: 0.873
Episode 27 | Reward: 10.40 | Avg: 21.47 | Epsilon: 0.869
Episode 28 | Reward: 10.17 | Avg: 21.08 | Epsilon: 0.865
Episode 29 | Reward: 10.27 | Avg: 20.72 | Epsilon: 0.860
Episode 30 | Reward: 9.59 | Avg: 20.36 | Epsilon: 0.856
Episode 31 | Reward: 22.83 | Avg: 20.44 | Epsilon: 0.852
Episode 32 | Reward: 9.22 | Avg: 20.10 | Epsilon: 0.848
Episode 33 | Reward: 58.07 | Avg: 21.21 | Epsilon: 0.843
Episode 34 | Reward: 9.84 | Avg: 20.89 | Epsilon: 0.839
Episode 35 | Reward: 10.65 | Avg: 20.60 | Epsilon: 0.835
Episode 36 | Reward: 17.11 | Avg: 20.51 | Epsilon: 0.831
Episode 37 | Reward: 15.71 | Avg: 20.38 | Epsilon: 0.827
Episode 38 | Reward: 17.80 | Avg: 20.32 | Epsilon: 0.822
Episode 39 | Reward: 9.14 | Avg: 20.04 | Epsilon: 0.818
Episode 40 | Reward: 68.33 | Avg: 21.22 | Epsilon: 0.814
Episode 41 | Reward: 17.39 | Avg: 21.12 | Epsilon: 0.810
Episode 42 | Reward: 10.21 | Avg: 20.87 | Epsilon: 0.806
Episode 43 | Reward: 18.21 | Avg: 20.81 | Epsilon: 0.802
Episode 44 | Reward: 10.21 | Avg: 20.57 | Epsilon: 0.798
Episode 45 | Reward: 44.29 | Avg: 21.09 | Epsilon: 0.794
Episode 46 | Reward: 10.05 | Avg: 20.86 | Epsilon: 0.790
Episode 47 | Reward: 10.15 | Avg: 20.63 | Epsilon: 0.786
Episode 48 | Reward: 9.94 | Avg: 20.41 | Epsilon: 0.782
Episode 49 | Reward: 9.68 | Avg: 20.20 | Epsilon: 0.778
Episode 50 | Reward: 10.12 | Avg: 20.22 | Epsilon: 0.774
Episode 51 | Reward: 8.76 | Avg: 19.10 | Epsilon: 0.771
Episode 52 | Reward: 17.90 | Avg: 19.09 | Epsilon: 0.767
Episode 53 | Reward: 37.39 | Avg: 19.38 | Epsilon: 0.763
Episode 54 | Reward: 15.22 | Avg: 19.50 | Epsilon: 0.759
Episode 55 | Reward: 9.56 | Avg: 19.55 | Epsilon: 0.755
Episode 56 | Reward: 15.85 | Avg: 19.65 | Epsilon: 0.751
Episode 57 | Reward: 10.07 | Avg: 18.48 | Epsilon: 0.748
Episode 58 | Reward: 10.01 | Avg: 18.34 | Epsilon: 0.744
Episode 59 | Reward: 10.63 | Avg: 18.36 | Epsilon: 0.740
Episode 60 | Reward: 41.23 | Avg: 19.01 | Epsilon: 0.737
Episode 61 | Reward: 15.23 | Avg: 18.95 | Epsilon: 0.733
Episode 62 | Reward: 24.26 | Avg: 19.07 | Epsilon: 0.729
Episode 63 | Reward: 8.98 | Avg: 19.06 | Epsilon: 0.726
Episode 64 | Reward: 52.50 | Avg: 19.92 | Epsilon: 0.722
Episode 65 | Reward: 3.83 | Avg: 19.64 | Epsilon: 0.718
Episode 66 | Reward: 24.01 | Avg: 19.91 | Epsilon: 0.715
Episode 67 | Reward: 7.68 | Avg: 18.96 | Epsilon: 0.711
Episode 68 | Reward: 15.94 | Avg: 19.08 | Epsilon: 0.708
Episode 69 | Reward: 16.87 | Avg: 18.10 | Epsilon: 0.704
Episode 70 | Reward: 16.75 | Avg: 18.23 | Epsilon: 0.701
Episode 71 | Reward: 9.80 | Avg: 18.22 | Epsilon: 0.697
Episode 72 | Reward: 10.36 | Avg: 17.42 | Epsilon: 0.694
Episode 73 | Reward: 15.98 | Avg: 17.56 | Epsilon: 0.690
Episode 74 | Reward: 68.68 | Avg: 18.47 | Epsilon: 0.687
Episode 75 | Reward: 10.02 | Avg: 18.47 | Epsilon: 0.683
Episode 76 | Reward: 23.46 | Avg: 18.61 | Epsilon: 0.680
Episode 77 | Reward: 42.40 | Avg: 19.25 | Epsilon: 0.676
Episode 78 | Reward: 15.95 | Avg: 19.36 | Epsilon: 0.673
Episode 79 | Reward: 18.16 | Avg: 19.52 | Epsilon: 0.670
Episode 80 | Reward: 8.92 | Avg: 19.51 | Epsilon: 0.666
Episode 81 | Reward: 9.54 | Avg: 19.24 | Epsilon: 0.663
Episode 82 | Reward: 15.68 | Avg: 19.37 | Epsilon: 0.660
Episode 83 | Reward: 19.39 | Avg: 18.60 | Epsilon: 0.656
Episode 84 | Reward: 16.53 | Avg: 18.73 | Epsilon: 0.653
Episode 85 | Reward: 10.10 | Avg: 18.72 | Epsilon: 0.650
Episode 86 | Reward: 10.89 | Avg: 18.60 | Epsilon: 0.647
Episode 87 | Reward: 2.12 | Avg: 18.32 | Epsilon: 0.643
Episode 88 | Reward: 23.26 | Avg: 18.43 | Epsilon: 0.640
Episode 89 | Reward: 7.42 | Avg: 18.40 | Epsilon: 0.637
Episode 90 | Reward: 59.38 | Avg: 18.22 | Epsilon: 0.634
Episode 91 | Reward: 15.38 | Avg: 18.18 | Epsilon: 0.631
Episode 92 | Reward: 16.47 | Avg: 18.30 | Epsilon: 0.627
Episode 93 | Reward: 9.83 | Avg: 18.14 | Epsilon: 0.624
Episode 94 | Reward: 8.42 | Avg: 18.10 | Epsilon: 0.621
Episode 95 | Reward: 23.66 | Avg: 17.69 | Epsilon: 0.618
Episode 96 | Reward: 14.58 | Avg: 17.78 | Epsilon: 0.615
Episode 97 | Reward: 10.85 | Avg: 17.79 | Epsilon: 0.612
Episode 98 | Reward: 8.91 | Avg: 17.77 | Epsilon: 0.609
Episode 99 | Reward: 10.28 | Avg: 17.78 | Epsilon: 0.606
Episode 100 | Reward: 49.79 | Avg: 18.58 | Epsilon: 0.603
